entry_id,week_number,stage,q1_score,q2_score,q3_score,q4_score,participant_age,participant_gender,doodle_storage_path
001,1,1,3,4,3,4,20.0,female,week-1/w1_s1_001.png
002,1,1,5,1,1,2,21.0,female,week-1/w1_s1_002.png
003,1,1,1,2,3,2,21.0,male,week-1/w1_s1_003.png
004,1,1,5,3,5,1,22.0,male,week-1/w1_s1_004.png
005,1,1,5,4,2,4,18.0,male,week-1/w1_s1_005.png
006,1,1,2,2,2,3,23.0,male,week-1/w1_s1_006.png
007,1,1,2,4,1,4,20.0,female,week-1/w1_s1_007.png
008,1,1,5,4,2,2,21.0,female,week-1/w1_s1_008.png
009,1,1,5,5,2,3,21.0,female,week-1/w1_s1_009.png
010,1,1,5,4,1,2,23.0,male,week-1/w1_s1_010.png
011,1,1,5,2,5,2,24.0,female,week-1/w1_s1_011.png
012,1,1,1,3,2,1,20.0,female,week-1/w1_s1_012.png
013,1,1,5,3,3,5,25.0,female,week-1/w1_s1_013.png
014,1,1,5,5,1,5,58.0,male,week-1/w1_s1_014.png
015,1,1,4,4,2,4,20.0,female,week-1/w1_s1_015.png
016,1,1,4,3,3,2,20.0,female,week-1/w1_s1_016.png
017,1,1,4,2,1,2,20.0,female,week-1/w1_s1_017.png
018,1,1,3,2,2,2,19.0,self_describe,week-1/w1_s1_018.png
019,1,1,4,2,1,2,20.0,female,week-1/w1_s1_019.png
020,1,1,3,3,3,2,20.0,female,week-1/w1_s1_020.png
021,1,1,3,1,5,2,19.0,female,week-1/w1_s1_021.png
022,1,1,2,1,4,1,20.0,female,week-1/w1_s1_022.png
023,1,1,2,1,3,1,23.0,female,week-1/w1_s1_023.png
024,1,1,3,3,2,2,21.0,female,week-1/w1_s1_024.png
025,1,1,2,1,2,1,20.0,female,week-1/w1_s1_025.png
026,1,1,1,1,2,1,22.0,male,week-1/w1_s1_026.png
027,1,1,4,2,2,2,20.0,female,week-1/w1_s1_027.png
028,1,1,4,4,1,3,20.0,female,week-1/w1_s1_028.png
029,1,1,3,2,2,1,19.0,female,week-1/w1_s1_029.png
030,1,1,5,5,4,5,20.0,male,week-1/w1_s1_030.png
031,1,1,5,3,1,3,24.0,nonbinary,week-1/w1_s1_031.png
032,1,1,4,3,5,3,23.0,male,week-1/w1_s1_032.png
033,1,1,4,4,2,3,21.0,male,week-1/w1_s1_033.png
034,1,1,3,4,5,3,25.0,male,week-1/w1_s1_034.png
035,1,1,3,4,5,2,20.0,female,week-1/w1_s1_035.png
036,1,1,3,3,1,3,21.0,male,week-1/w1_s1_036.png
037,1,1,4,5,2,3,20.0,female,week-1/w1_s1_037.png
038,1,1,2,2,1,2,22.0,female,week-1/w1_s1_038.png
039,1,1,1,3,1,2,27.0,female,week-1/w1_s1_039.png
040,1,1,3,5,1,4,19.0,female,week-1/w1_s1_040.png
041,1,1,3,2,2,4,18.0,female,week-1/w1_s1_041.png
042,1,1,1,3,1,1,19.0,male,week-1/w1_s1_042.png
043,1,1,3,2,5,2,23.0,female,week-1/w1_s1_043.png
044,1,1,3,2,1,1,21.0,female,week-1/w1_s1_044.png
045,1,1,5,4,3,5,34.0,male,week-1/w1_s1_045.png
046,1,1,5,3,1,1,21.0,female,week-1/w1_s1_046.png
047,1,1,4,2,1,3,28.0,male,week-1/w1_s1_047.png
048,1,1,2,3,1,4,21.0,female,week-1/w1_s1_048.png
049,1,1,3,4,4,5,22.0,female,week-1/w1_s1_049.png
050,1,1,4,5,5,5,,female,week-1/w1_s1_050.png
051,1,1,2,1,4,3,26.0,male,week-1/w1_s1_051.png
052,1,1,4,5,5,5,22.0,female,week-1/w1_s1_052.png
053,1,1,3,1,1,1,21.0,female,week-1/w1_s1_053.png
054,1,1,2,3,1,2,25.0,female,week-1/w1_s1_054.png
055,1,2,1,1,1,4,23.0,male,week-1/w1_s2_055.png
056,1,2,5,3,4,4,29.0,male,week-1/w1_s2_056.png
057,1,2,5,2,5,3,20.0,female,week-1/w1_s2_057.png
058,1,2,5,5,5,2,20.0,nonbinary,week-1/w1_s2_058.png
059,1,2,1,1,5,2,23.0,male,week-1/w1_s2_059.png
060,1,2,5,1,5,1,20.0,male,week-1/w1_s2_060.png
061,1,2,4,1,5,4,21.0,female,week-1/w1_s2_061.png
062,1,2,1,1,1,1,21.0,female,week-1/w1_s2_062.png
063,1,2,5,4,4,5,20.0,female,week-1/w1_s2_063.png
064,1,2,5,2,5,5,21.0,female,week-1/w1_s2_064.png
065,1,2,1,4,5,2,20.0,female,week-1/w1_s2_065.png
066,1,2,1,2,4,4,20.0,female,week-1/w1_s2_066.png
067,1,2,1,1,5,3,21.0,female,week-1/w1_s2_067.png
068,1,2,1,5,5,3,20.0,female,week-1/w1_s2_068.png
069,1,2,5,5,5,1,19.0,female,week-1/w1_s2_069.png
070,1,2,1,2,4,2,20.0,male,week-1/w1_s2_070.png
071,1,2,5,5,3,4,23.0,female,week-1/w1_s2_071.png
072,1,2,1,1,1,4,24.0,female,week-1/w1_s2_072.png
073,1,2,5,5,1,5,19.0,female,week-1/w1_s2_073.png
074,1,2,5,5,3,5,20.0,female,week-1/w1_s2_074.png
075,1,2,1,4,2,5,25.0,female,week-1/w1_s2_075.png
076,1,2,1,2,4,2,19.0,female,week-1/w1_s2_076.png
077,1,2,4,2,4,5,19.0,female,week-1/w1_s2_077.png
078,1,2,5,4,1,4,20.0,female,week-1/w1_s2_078.png
079,1,2,5,1,1,3,23.0,male,week-1/w1_s2_079.png
080,1,2,1,3,5,4,21.0,male,week-1/w1_s2_080.png
081,1,2,3,2,5,4,20.0,female,week-1/w1_s2_081.png
082,1,2,1,4,2,5,22.0,male,week-1/w1_s2_082.png
083,1,2,5,4,3,3,22.0,female,week-1/w1_s2_083.png
084,1,2,2,4,5,4,20.0,female,week-1/w1_s2_084.png
085,1,2,1,2,5,4,20.0,female,week-1/w1_s2_085.png
086,1,2,4,2,4,4,21.0,male,week-1/w1_s2_086.png
087,1,2,4,2,4,5,24.0,nonbinary,week-1/w1_s2_087.png
088,1,2,5,4,4,3,20.0,prefer_not_to_say,week-1/w1_s2_088.png
089,1,2,1,1,5,3,21.0,male,week-1/w1_s2_089.png
090,1,2,2,1,1,1,23.0,female,week-1/w1_s2_090.png
091,1,2,1,1,4,4,20.0,female,week-1/w1_s2_091.png
092,1,2,1,1,5,5,25.0,male,week-1/w1_s2_092.png
093,1,2,1,2,3,4,24.0,female,week-1/w1_s2_093.png
094,1,2,4,1,5,1,58.0,male,week-1/w1_s2_094.png
095,1,2,1,2,5,5,22.0,female,week-1/w1_s2_095.png
096,1,2,5,1,3,4,34.0,male,week-1/w1_s2_096.png
097,1,2,4,3,3,4,29.0,male,week-1/w1_s2_097.png
098,1,2,1,1,5,3,21.0,female,week-1/w1_s2_098.png
099,1,2,4,1,5,1,23.0,female,week-1/w1_s2_099.png
100,1,2,3,5,4,5,21.0,female,week-1/w1_s2_100.png
101,1,2,1,1,5,2,21.0,female,week-1/w1_s2_101.png
102,1,2,3,1,5,1,22.0,female,week-1/w1_s2_102.png
103,1,2,1,1,4,4,21.0,female,week-1/w1_s2_103.png
104,1,2,4,2,4,5,28.0,male,week-1/w1_s2_104.png
105,1,2,5,2,5,1,19.0,female,week-1/w1_s2_105.png
106,1,2,4,3,5,5,19.0,female,week-1/w1_s2_106.png
107,1,2,5,2,1,5,19.0,male,week-1/w1_s2_107.png
108,1,2,5,4,2,5,19.0,male,week-1/w1_s2_108.png
109,1,2,3,2,1,3,23.0,male,week-1/w1_s2_109.png
110,1,2,5,2,3,4,26.0,male,week-1/w1_s2_110.png
111,1,2,1,2,2,3,21.0,male,week-1/w1_s2_111.png
112,1,2,1,2,5,5,22.0,female,week-1/w1_s2_112.png
113,1,2,3,1,4,4,61.0,male,week-1/w1_s2_113.png
114,1,2,1,1,4,2,19.0,female,week-1/w1_s2_114.png
115,1,2,5,4,3,3,22.0,female,week-1/w1_s2_115.png
116,1,2,1,1,2,1,,male,week-1/w1_s2_116.png
117,1,2,3,2,4,1,53.0,male,week-1/w1_s2_117.png
